'자전거번호','대여일시','대여대여소번호','대여거치대','반납일시','반납대여소번호','반납거치대','이용시간(분)','이용거리(M)'
'SPB-12392','2018-04-23 00:00:45','179',3,'2018-04-23 00:05:43','170',10,4,900
'SPB-01265','2018-04-23 00:01:06','1228',10,'2018-04-23 00:07:04','1207',8,5,810
'SPB-10535','2018-04-23 00:04:53','1946',4,'2018-04-23 00:30:20','1145',9,24,4700
'SPB-07961','2018-04-23 00:06:00','2361',9,'2018-04-23 00:17:01','2361',1,10,510
'SPB-10307','2018-04-23 00:06:50','1210',6,'2018-04-23 00:23:22','542',14,16,3080
'SPB-08303','2018-04-23 00:06:54','555',10,'2018-04-23 00:19:35','548',9,12,1960
'SPB-08516','2018-04-23 00:08:20','590',4,'2018-04-23 01:00:30','1008',10,48,7280
'SPB-01377','2018-04-23 00:09:54','2337',15,'2018-04-23 00:29:29','2314',10,19,4300
'SPB-02900','2018-04-23 00:10:03','277',10,'2018-04-23 00:22:37','257',4,12,1770
'SPB-11142','2018-04-23 00:11:11','126',13,'2018-04-23 00:29:05','126',8,18,1870
'SPB-01967','2018-04-23 00:11:36','1153',1,'2018-04-23 00:33:40','1120',1,21,2410
'SPB-06494','2018-04-23 00:12:05','1153',3,'2018-04-23 00:33:31','1120',3,20,2440
'SPB-12432','2018-04-23 00:12:14','1911',5,'2018-04-23 00:59:39','235',9,47,3620
'SPB-07854','2018-04-23 00:12:23','1153',8,'2018-04-23 00:33:31','1120',9,20,2420
'SPB-10248','2018-04-23 00:12:48','130',8,'2018-04-23 00:30:08','151',10,17,2590
'SPB-09419','2018-04-23 00:13:23','703',12,'2018-04-23 00:25:17','232',17,11,1210
'SPB-13172','2018-04-23 00:13:31','244',1,'2018-04-23 00:24:10','231',6,10,1790
'SPB-11682','2018-04-23 00:13:41','137',5,'2018-04-23 00:19:04','126',13,5,1080
'SPB-13065','2018-04-23 00:14:45','580',2,'2018-04-23 00:35:09','3519',2,19,4100
'SPB-10437','2018-04-23 00:14:58','126',19,'2018-04-23 00:20:52','148',9,5,990
'SPB-10997','2018-04-23 00:15:38','106',1,'2018-04-23 00:19:59','103',1,4,760
'SPB-06149','2018-04-23 00:15:55','1038',5,'2018-04-23 00:18:20','1021',15,2,620
'SPB-05279','2018-04-23 00:16:08','247',3,'2018-04-23 00:22:58','239',3,6,1220
'SPB-09474','2018-04-23 00:16:47','1248',8,'2018-04-23 02:27:11','1218',4,117,2090
'SPB-10784','2018-04-23 00:17:00','274',5,'2018-04-23 00:24:36','257',2,7,1400
'SPB-12892','2018-04-23 00:17:42','1152',2,'2018-04-23 01:05:18','736',10,46,4580
'SPB-12964','2018-04-23 00:17:50','274',1,'2018-04-23 00:34:51','251',2,16,2470
'SPB-02336','2018-04-23 00:17:51','1153',4,'2018-04-23 00:33:35','1120',5,15,2440
'SPB-10834','2018-04-23 00:17:54','1822',10,'2018-04-23 00:44:34','2106',4,25,3390
'SPB-08310','2018-04-23 00:18:21','3509',15,'2018-04-23 00:24:38','578',1,6,1090
'SPB-10383','2018-04-23 00:18:39','2377',2,'2018-04-23 00:30:15','1212',10,11,1860
'SPB-07948','2018-04-23 00:19:05','1906',4,'2018-04-23 00:38:11','259',11,17,3640
'SPB-05189','2018-04-23 00:20:13','102',1,'2018-04-23 00:56:01','907',9,35,6180
'SPB-07331','2018-04-23 00:20:57','1210',14,'2018-04-23 00:48:35','542',13,26,3490
'SPB-08630','2018-04-23 00:22:53','274',2,'2018-04-23 00:31:23','213',1,8,1060
'SPB-03574','2018-04-23 00:22:59','129',2,'2018-04-23 00:28:08','119',10,4,1330
'SPB-09094','2018-04-23 00:23:20','537',10,'2018-04-23 00:34:47','3514',3,10,1860
'SPB-08306','2018-04-23 00:24:04','1210',19,'2018-04-23 00:57:47','571',4,32,4940
'SPB-09961','2018-04-23 00:24:09','379',2,'2018-04-23 00:42:07','322',9,17,1850
'SPB-08746','2018-04-23 00:25:02','2015',7,'2018-04-23 00:39:19','254',2,14,2570
'SPB-12675','2018-04-23 00:25:21','142',2,'2018-04-23 00:32:05','143',9,6,1830
'SPB-08164','2018-04-23 00:25:31','108',7,'2018-04-23 00:31:25','102',14,5,760
'SPB-12357','2018-04-23 00:26:19','2377',4,'2018-04-23 00:40:42','1244',4,13,3300
'SPB-01860','2018-04-23 00:27:30','302',9,'2018-04-23 00:46:29','446',6,18,3480
'SPB-08642','2018-04-23 00:27:44','342',7,'2018-04-23 00:53:08','601',1,23,3950
'SPB-03410','2018-04-23 00:28:59','212',29,'2018-04-23 00:39:51','222',10,10,1890
'SPB-13072','2018-04-23 00:29:40','637',2,'2018-04-23 00:34:18','1321',2,4,48650
'SPB-08979','2018-04-23 00:30:29','383',13,'2018-04-23 00:45:01','346',1,12,460
'SPB-05160','2018-04-23 00:30:49','1112',1,'2018-04-23 00:39:23','1102',10,8,1770
'SPB-10842','2018-04-23 00:30:56','1913',6,'2018-04-23 00:54:57','1830',14,23,4190
'SPB-11160','2018-04-23 00:31:08','1983',9,'2018-04-23 01:01:11','2176',1,28,5790
'SPB-09284','2018-04-23 00:31:48','134',4,'2018-04-23 01:02:26','134',1,29,1100
'SPB-06711','2018-04-23 00:32:50','1152',1,'2018-04-23 01:05:16','736',9,32,5140
'SPB-12726','2018-04-23 00:33:43','251',3,'2018-04-23 00:44:48','242',2,10,1430
'SPB-07369','2018-04-23 00:36:18','276',2,'2018-04-23 00:59:34','2016',6,23,2960
'SPB-08548','2018-04-23 00:37:22','132',5,'2018-04-23 01:04:59','152',29,25,5140
'SPB-06331','2018-04-23 00:39:05','521',1,'2018-04-23 00:53:56','630',5,14,2000
'SPB-10895','2018-04-23 00:39:14','642',6,'2018-04-23 00:49:53','601',4,9,980
'SPB-07476','2018-04-23 00:39:27','3509',18,'2018-04-23 00:46:01','3509',12,5,690
'SPB-11421','2018-04-23 00:39:41','2355',17,'2018-04-23 01:16:21','2293',9,35,5100
'SPB-03254','2018-04-23 00:39:58','544',20,'2018-04-23 00:56:21','573',8,16,2160
'SPB-04392','2018-04-23 00:40:02','3511',8,'2018-04-23 00:55:33','3519',8,15,2740
'SPB-09228','2018-04-23 00:42:51','409',1,'2018-04-23 00:53:37','178',10,10,1650
'SPB-13067','2018-04-23 00:45:05','129',1,'2018-04-23 00:50:55','118',4,5,1070
'SPB-11287','2018-04-23 00:45:14','906',3,'2018-04-23 00:57:03','907',10,11,2040
'SPB-05604','2018-04-23 00:46:44','1650',5,'2018-04-23 00:50:40','1668',2,3,810
'SPB-01668','2018-04-23 00:46:56','945',2,'2018-04-23 00:59:02','925',1,11,3140
'SPB-00650','2018-04-23 00:47:22','1960',2,'2018-04-23 01:02:51','2012',3,15,3250
'SPB-13287','2018-04-23 00:47:49','723',1,'2018-04-23 00:56:31','708',10,8,1220
'SPB-05152','2018-04-23 00:48:07','1308',10,'2018-04-23 00:55:03','614',19,6,760
'SPB-06597','2018-04-23 00:48:41','631',13,'2018-04-23 00:55:25','579',6,6,1170
'SPB-13285','2018-04-23 00:48:58','571',1,'2018-04-23 01:00:22','551',8,10,1890
'SPB-09163','2018-04-23 00:49:08','378',10,'2018-04-23 01:04:27','1338',12,14,2940
'SPB-10545','2018-04-23 00:49:27','591',3,'2018-04-23 01:00:25','591',3,10,640
'SPB-10633','2018-04-23 00:49:31','1140',14,'2018-04-23 00:56:36','1141',10,6,1560
'SPB-15987','2018-04-23 00:49:45','1210',21,'2018-04-23 01:05:13','1212',1,15,2000
'SPB-05700','2018-04-23 00:49:54','1723',10,'2018-04-23 01:07:40','1723',10,17,400
'SPB-11437','2018-04-23 00:51:02','614',19,'2018-04-23 01:01:41','3514',2,10,1690
'SPB-09510','2018-04-23 00:51:09','358',3,'2018-04-23 00:58:43','344',5,7,1170
'SPB-00597','2018-04-23 00:51:54','413',6,'2018-04-23 00:59:54','421',5,7,1330
'SPB-08707','2018-04-23 00:52:33','1501',7,'2018-04-23 01:01:08','1509',3,8,1940
'SPB-11212','2018-04-23 00:52:54','326',2,'2018-04-23 01:10:51','198',12,17,3420
'SPB-12230','2018-04-23 00:53:03','828',2,'2018-04-23 01:22:31','2050',1,27,5160
'SPB-08033','2018-04-23 00:53:53','832',15,'2018-04-23 01:05:03','816',2,11,2260
'SPB-14487','2018-04-23 00:54:02','409',3,'2018-04-23 01:29:52','106',3,35,5510
'SPB-00434','2018-04-23 00:55:04','708',9,'2018-04-23 01:08:06','734',4,12,1560
'SPB-09810','2018-04-23 00:55:19','708',14,'2018-04-23 01:19:33','710',5,23,2790
'SPB-12781','2018-04-23 00:56:57','106',6,'2018-04-23 01:02:11','103',5,5,640
'SPB-06641','2018-04-23 00:58:01','1610',10,'2018-04-23 01:12:27','1431',8,14,2390
'SPB-04712','2018-04-23 00:58:10','623',1,'2018-04-23 01:07:49','637',10,9,1940
'SPB-10072','2018-04-23 00:58:34','521',14,'2018-04-23 01:09:23','536',8,10,890
'SPB-16607','2018-04-23 00:58:50','1707',3,'2018-04-23 01:07:37','1706',10,8,1440
'SPB-11990','2018-04-23 01:02:45','640',1,'2018-04-23 01:16:04','1321',8,12,1400
'SPB-00305','2018-04-23 01:03:44','640',4,'2018-04-23 01:15:54','1321',5,11,1830
'SPB-00597','2018-04-23 01:03:50','421',5,'2018-04-23 01:08:32','427',6,4,750
'SPB-10322','2018-04-23 01:04:15','523',6,'2018-04-23 01:26:45','2361',6,20,2030
'SPB-05282','2018-04-23 01:04:18','219',2,'2018-04-23 01:23:26','252',4,18,3980
'SPB-08263','2018-04-23 01:04:45','520',9,'2018-04-23 01:20:24','563',6,15,3500
'SPB-11119','2018-04-23 01:05:05','1220',15,'2018-04-23 01:19:54','1210',11,14,1970
'SPB-10423','2018-04-23 01:05:25','731',9,'2018-04-23 01:42:16','258',3,33,5570
'SPB-06364','2018-04-23 01:05:37','1520',5,'2018-04-23 01:21:47','1522',10,15,2640
'SPB-05330','2018-04-23 01:06:38','1021',6,'2018-04-23 01:32:19','1011',4,25,6360
'SPB-14421','2018-04-23 01:07:02','2377',5,'2018-04-23 01:35:19','1228',10,27,5310
'SPB-10561','2018-04-23 01:08:34','117',12,'2018-04-23 01:15:28','188',3,6,710
'SPB-08595','2018-04-23 01:08:43','111',4,'2018-04-23 02:00:48','2036',15,50,10020
'SPB-08059','2018-04-23 01:12:40','2306',29,'2018-04-23 01:27:13','533',4,14,2970
'SPB-10150','2018-04-23 01:15:05','247',6,'2018-04-23 01:18:16','244',1,3,340
'SPB-02058','2018-04-23 01:15:56','2127',2,'2018-04-23 01:21:53','2106',11,5,1120
'SPB-10388','2018-04-23 01:19:34','266',10,'2018-04-23 01:46:41','2050',3,27,4260
'SPB-11076','2018-04-23 01:20:09','1616',1,'2018-04-23 01:27:15','1608',8,6,1130
'SPB-07516','2018-04-23 01:21:00','831',8,'2018-04-23 01:47:34','125',7,26,5000
'SPB-14630','2018-04-23 01:21:06','1616',10,'2018-04-23 01:27:10','1608',9,5,1070
'SPB-11152','2018-04-23 01:22:25','195',3,'2018-04-23 01:25:28','183',6,3,430
'SPB-10149','2018-04-23 01:24:13','1115',7,'2018-04-23 01:34:20','1117',1,9,1820
'SPB-02784','2018-04-23 01:24:58','1339',6,'2018-04-23 01:45:56','1501',6,20,2170
'SPB-09166','2018-04-23 01:26:36','1231',5,'2018-04-23 01:36:15','1222',13,9,1450
'SPB-07409','2018-04-23 01:27:30','113',1,'2018-04-23 01:37:18','166',5,9,1770
'SPB-12253','2018-04-23 01:28:25','2111',1,'2018-04-23 01:45:01','2281',4,14,3010
'SPB-14630','2018-04-23 01:28:36','1608',9,'2018-04-23 01:34:47','1655',12,5,630
'SPB-12833','2018-04-23 01:30:19','223',2,'2018-04-23 01:35:31','259',16,4,1080
'SPB-05628','2018-04-23 01:30:39','153',10,'2018-04-23 01:49:57','191',7,18,4200
'SPB-12783','2018-04-23 01:30:56','1124',9,'2018-04-23 01:41:16','1129',10,9,700
'SPB-03226','2018-04-23 01:32:50','358',5,'2018-04-23 01:36:36','359',2,3,840
'SPB-05862','2018-04-23 01:36:53','129',6,'2018-04-23 01:42:26','122',10,5,1080
'SPB-04779','2018-04-23 01:37:55','1029',6,'2018-04-23 01:47:15','1008',7,8,1700
'SPB-07475','2018-04-23 01:39:51','245',10,'2018-04-23 01:52:54','227',2,12,2230
'SPB-07713','2018-04-23 01:40:25','1221',8,'2018-04-23 02:03:54','1212',10,22,760
'SPB-14943','2018-04-23 01:41:04','2002',1,'2018-04-23 02:04:25','2002',1,23,2000
'SPB-07465','2018-04-23 01:44:04','1346',2,'2018-04-23 01:54:13','1531',5,9,1260
'SPB-09029','2018-04-23 01:47:05','184',9,'2018-04-23 02:21:42','930',4,33,5530
'SPB-06134','2018-04-23 01:47:09','2103',6,'2018-04-23 02:07:12','2145',5,19,2430
'SPB-08675','2018-04-23 01:47:50','346',3,'2018-04-23 02:03:57','522',3,15,2260
'SPB-10829','2018-04-23 01:52:01','500',8,'2018-04-23 02:07:13','555',10,15,1440
'SPB-05952','2018-04-23 01:52:17','917',6,'2018-04-23 01:58:35','907',7,5,1800
'SPB-10236','2018-04-23 02:00:57','383',14,'2018-04-23 02:05:46','361',5,4,630
'SPB-08306','2018-04-23 02:05:54','571',4,'2018-04-23 02:11:12','540',6,5,700
'SPB-00434','2018-04-23 02:06:31','734',4,'2018-04-23 02:17:45','1145',2,10,2210
'SPB-08492','2018-04-23 02:07:31','2349',10,'2018-04-23 02:13:43','2330',9,5,1170
'SPB-11257','2018-04-23 02:08:26','164',1,'2018-04-23 02:11:38','191',8,3,440
'SPB-08442','2018-04-23 02:08:51','809',10,'2018-04-23 03:07:50','192',9,55,12590
'SPB-10526','2018-04-23 02:11:51','2164',7,'2018-04-23 03:31:33','2139',3,79,1910
'SPB-11009','2018-04-23 02:12:41','102',3,'2018-04-23 02:19:23','421',1,6,1350
'SPB-05798','2018-04-23 02:13:48','379',3,'2018-04-23 02:54:08','2054',3,39,7430
'SPB-06674','2018-04-23 02:15:34','105',5,'2018-04-23 02:38:28','239',2,22,0
'SPB-11715','2018-04-23 02:24:08','1539',3,'2018-04-23 02:29:56','1526',8,5,1420
'SPB-05689','2018-04-23 02:28:57','1955',3,'2018-04-23 02:45:41','234',2,16,2540
'SPB-10476','2018-04-23 02:36:58','950',7,'2018-04-23 02:48:00','956',5,10,2230
'SPB-03518','2018-04-23 02:37:46','1663',1,'2018-04-23 02:47:33','1326',2,9,2400
'SPB-09558','2018-04-23 02:40:03','1146',2,'2018-04-23 02:51:22','714',1,11,1100
'SPB-04914','2018-04-23 02:40:53','1018',20,'2018-04-23 03:22:53','1246',28,41,6370
'SPB-01031','2018-04-23 02:41:02','1287',2,'2018-04-23 03:06:41','1201',2,25,4130
'SPB-08018','2018-04-23 02:43:36','508',6,'2018-04-23 02:48:48','513',7,5,810
'SPB-08463','2018-04-23 02:44:05','2315',3,'2018-04-23 03:20:02','1208',5,35,7790
'SPB-03302','2018-04-23 02:49:28','113',3,'2018-04-23 02:58:16','153',12,8,1710
'SPB-04785','2018-04-23 02:55:12','1009',6,'2018-04-23 03:44:52','1227',10,49,7790
'SPB-11283','2018-04-23 02:55:36','266',6,'2018-04-23 03:03:53','258',7,7,1340
'SPB-12942','2018-04-23 03:01:29','1420',12,'2018-04-23 03:36:03','1533',9,33,4440
'SPB-06303','2018-04-23 03:03:47','2311',4,'2018-04-23 03:25:25','585',8,21,3900
'SPB-09814','2018-04-23 03:23:33','2221',2,'2018-04-23 03:52:08','2041',7,29,4020
'SPB-11009','2018-04-23 03:25:54','421',1,'2018-04-23 10:56:09','109',8,173,5230
'SPB-03130','2018-04-23 03:35:19','592',2,'2018-04-23 04:49:42','592',1,74,0
'SPB-05535','2018-04-23 03:38:41','342',10,'2018-04-23 04:23:31','1444',2,44,9700
'SPB-02082','2018-04-23 03:45:24','536',3,'2018-04-23 04:37:45','1210',18,51,12690
'SPB-05380','2018-04-23 03:56:37','555',1,'2018-04-23 04:15:17','562',10,18,4680
'SPB-06393','2018-04-23 04:16:18','1313',1,'2018-04-23 04:23:48','1316',17,7,1260
'SPB-00639','2018-04-23 04:55:58','1203',17,'2018-04-23 05:15:51','1262',8,19,3050
'SPB-09137','2018-04-23 05:01:58','388',1,'2018-04-23 05:05:29','342',1,3,400
'SPB-08823','2018-04-23 05:15:05','551',5,'2018-04-23 05:25:40','3524',13,10,2170
'SPB-07315','2018-04-23 05:15:17','300',4,'2018-04-23 05:20:21','312',4,5,910
'SPB-02742','2018-04-23 05:21:18','314',1,'2018-04-23 05:31:56','311',3,10,1820
'SPB-11636','2018-04-23 05:51:47','334',1,'2018-04-23 06:02:26','303',6,10,1840
'SPB-12705','2018-04-23 05:56:28','1845',2,'2018-04-23 06:09:30','1850',4,2,340
'SPB-12257','2018-04-23 06:12:35','2025',13,'2018-04-23 06:35:14','2213',13,21,3870
'SPB-09487','2018-04-23 06:20:49','542',19,'2018-04-23 06:32:16','1209',18,11,2030
'SPB-05484','2018-04-23 06:28:19','2302',5,'2018-04-23 06:36:13','2385',8,7,1520
'SPB-11942','2018-04-23 06:41:23','266',3,'2018-04-23 06:52:21','258',9,10,1290
'SPB-10250','2018-04-23 06:45:33','184',3,'2018-04-23 06:55:25','199',4,9,42180
'SPB-05172','2018-04-23 07:00:54','1809',10,'2018-04-23 07:06:12','1851',7,4,1190
'SPB-12230','2018-04-23 07:03:35','2050',1,'2018-04-23 07:48:58','1912',4,42,5850
'SPB-12002','2018-04-23 07:13:35','909',4,'2018-04-23 07:37:29','411',3,23,4290
'SPB-11001','2018-04-23 07:18:25','1250',5,'2018-04-23 07:33:00','1262',10,14,2020
'SPB-05629','2018-04-23 07:20:51','355',14,'2018-04-23 09:17:22','342',7,116,3420
'SPB-09887','2018-04-23 07:23:39','334',6,'2018-04-23 07:30:27','345',14,6,530
'SPB-07826','2018-04-23 07:27:52','416',10,'2018-04-23 07:30:24','415',9,2,480
'SPB-06731','2018-04-23 07:29:54','621',15,'2018-04-23 07:54:17','579',7,24,2020
'SPB-00576','2018-04-23 07:32:48','1275',15,'2018-04-23 07:42:46','1271',11,9,990
'SPB-06303','2018-04-23 07:36:09','585',8,'2018-04-23 07:43:03','589',5,6,990
'SPB-08173','2018-04-23 07:37:26','529',1,'2018-04-23 07:42:12','594',15,4,870
'SPB-09162','2018-04-23 07:37:38','2311',5,'2018-04-23 07:41:26','2309',5,3,380
'SPB-09209','2018-04-23 07:39:01','2341',1,'2018-04-23 08:04:15','1243',9,25,4170
'SPB-10074','2018-04-23 07:40:57','621',6,'2018-04-23 08:03:15','1308',10,21,2770
'SPB-07952','2018-04-23 07:41:50','1220',11,'2018-04-23 07:48:33','1235',1,6,550
'SPB-12653','2018-04-23 07:42:37','1908',1,'2018-04-23 08:18:35','744',4,34,6290
'SPB-03899','2018-04-23 07:48:21','258',2,'2018-04-23 07:56:50','213',6,8,920
'SPB-11734','2018-04-23 08:01:22','1827',10,'2018-04-23 08:42:57','716',3,40,7990
'SPB-08651','2018-04-23 08:04:26','335',1,'2018-04-23 08:08:39','389',10,4,670
'SPB-10428','2018-04-23 08:05:44','1211',4,'2018-04-23 08:26:30','1201',10,19,2390
'SPB-04824','2018-04-23 08:14:01','175',14,'2018-04-23 08:24:34','155',4,10,2140
'SPB-09982','2018-04-23 08:14:20','582',2,'2018-04-23 08:23:33','514',6,8,1290
'SPB-06749','2018-04-23 08:14:22','375',2,'2018-04-23 08:21:52','380',1,7,1710
'SPB-08697','2018-04-23 08:16:09','180',5,'2018-04-23 08:29:31','301',15,13,2010
'SPB-02801','2018-04-23 08:19:44','216',10,'2018-04-23 08:26:35','211',1,6,1040
'SPB-10250','2018-04-23 08:21:58','199',4,'2018-04-23 08:33:21','184',3,11,1250
'SPB-11547','2018-04-23 08:24:52','2243',12,'2018-04-23 08:40:37','2268',1,15,3050
'SPB-07345','2018-04-23 08:25:21','503',5,'2018-04-23 08:34:23','514',1,8,1230
'SPB-11712','2018-04-23 08:32:02','449',5,'2018-04-23 08:42:00','446',5,9,1600
'SPB-06112','2018-04-23 08:33:24','1824',1,'2018-04-23 08:47:47','1834',1,13,2430
'SPB-06294','2018-04-23 08:39:03','320',7,'2018-04-23 08:42:54','368',4,3,630
'SPB-06434','2018-04-23 08:42:42','589',8,'2018-04-23 08:46:59','509',19,3,790
'SPB-11618','2018-04-23 08:43:19','2250',10,'2018-04-23 09:13:04','2273',7,27,3430
'SPB-09952','2018-04-23 08:44:50','615',4,'2018-04-23 08:57:40','642',1,12,1280
'SPB-02207','2018-04-23 08:48:51','314',4,'2018-04-23 08:59:17','309',1,10,1600
'SPB-02531','2018-04-23 08:50:21','175',16,'2018-04-23 09:06:17','153',1,15,2760
'SPB-01577','2018-04-23 08:51:30','102',18,'2018-04-23 08:57:57','107',5,6,910
'SPB-01472','2018-04-23 08:51:56','1245',4,'2018-04-23 10:16:52','1247',5,84,18670
'SPB-07350','2018-04-23 08:53:04','160',11,'2018-04-23 09:48:10','180',2,54,560
'SPB-07863','2018-04-23 08:55:32','304',4,'2018-04-23 09:00:07','318',10,4,750
'SPB-02656','2018-04-23 08:56:03','623',18,'2018-04-23 09:55:43','638',18,59,720
'SPB-05420','2018-04-23 09:01:53','503',3,'2018-04-23 09:16:06','567',10,13,2030
'SPB-06245','2018-04-23 09:02:06','415',3,'2018-04-23 09:13:24','408',19,10,1370
'SPB-08983','2018-04-23 09:03:34','341',1,'2018-04-23 09:38:05','359',5,32,1580
'SPB-15654','2018-04-23 09:09:01','307',7,'2018-04-23 09:13:10','316',9,3,910
'SPB-07501','2018-04-23 09:22:17','2312',5,'2018-04-23 09:28:23','2313',5,5,560
'SPB-11924','2018-04-23 09:42:46','1906',2,'2018-04-23 10:41:56','1906',3,57,13940
'SPB-04654','2018-04-23 09:55:44','220',27,'2018-04-23 10:30:43','105',3,34,9180
'SPB-03718','2018-04-23 09:59:29','113',2,'2018-04-23 10:18:04','176',6,18,3710
'SPB-08359','2018-04-23 10:01:14','1248',4,'2018-04-23 10:29:04','1228',6,26,2550
'SPB-11311','2018-04-23 10:09:30','640',5,'2018-04-23 10:17:59','637',8,8,1070
'SPB-13117','2018-04-23 10:22:03','314',5,'2018-04-23 11:20:24','351',7,53,3380
'SPB-00660','2018-04-23 10:25:20','1014',8,'2018-04-23 12:16:40','1019',1,110,5210
'SPB-10119','2018-04-23 10:25:50','943',7,'2018-04-23 10:29:32','917',1,3,750
'SPB-07980','2018-04-23 10:27:44','550',14,'2018-04-23 10:42:35','550',14,13,0
'SPB-07985','2018-04-23 10:30:18','2173',10,'2018-04-23 10:42:57','2113',4,11,2230
'SPB-07941','2018-04-23 10:33:10','308',1,'2018-04-23 10:50:42','314',1,16,1310
'SPB-12406','2018-04-23 10:36:55','110',9,'2018-04-23 10:45:46','113',8,8,1280
'SPB-02888','2018-04-23 10:37:48','909',1,'2018-04-23 10:40:20','163',4,2,480
'SPB-08854','2018-04-23 10:43:21','550',15,'2018-04-23 12:25:24','550',15,96,0
'SPB-08983','2018-04-23 10:44:27','359',5,'2018-04-23 10:47:40','356',3,3,490
'SPB-08263','2018-04-23 10:44:41','563',6,'2018-04-23 10:50:45','508',6,5,680
'SPB-07921','2018-04-23 10:47:37','355',1,'2018-04-23 10:59:30','326',1,11,1820
'SPB-07516','2018-04-23 11:02:45','125',7,'2018-04-23 11:05:13','129',2,2,590
'SPB-05428','2018-04-23 11:20:29','400',10,'2018-04-23 11:30:38','409',25,9,1410
'SPB-11158','2018-04-23 11:22:10','701',4,'2018-04-23 11:32:00','747',5,9,1530
'SPB-06237','2018-04-23 11:22:43','630',2,'2018-04-23 11:29:14','633',4,6,980
'SPB-06685','2018-04-23 11:23:59','369',1,'2018-04-23 11:33:32','308',1,9,1090
'SPB-13045','2018-04-23 11:24:03','369',5,'2018-04-23 11:33:28','308',9,9,850
'SPB-01240','2018-04-23 11:24:27','504',2,'2018-04-23 11:43:46','516',7,18,2560
'SPB-08440','2018-04-23 11:25:39','342',6,'2018-04-23 13:12:31','388',1,101,2380
'SPB-11015','2018-04-23 11:47:18','1924',9,'2018-04-23 11:53:27','1911',10,5,1060
'SPB-12207','2018-04-23 11:48:09','956',8,'2018-04-23 12:04:14','916',6,16,2130
'SPB-06639','2018-04-23 12:01:31','277',3,'2018-04-23 12:14:49','232',2,12,2050
'SPB-09508','2018-04-23 12:16:32','609',8,'2018-04-23 12:39:38','613',5,22,3100
'SPB-09323','2018-04-23 12:18:55','415',5,'2018-04-23 12:23:24','409',23,4,870
